9,Tis Hazari,30,30,30,30,30,30,20,10,10,10,10,20,20,30,30,30,30,30,30,40,40,40,40,40,30,30,30,30,30,20,20,20,10,20,20,20,30,30,30,30,30,30,40,40,40,40,40,40,40,50,50,50,50,50,50,50,60,60,50,50,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,60,40,40,30,30,30,40,30,50,50,50,50,50,50,40,40,40,40,40,40,40,40,30,30,30,30,30,30,20,30,30,10,20,20,20,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,40,50,50,50,50,50,40,40,40,40,40,40,40,40,40,40,40,40,50,50,50,50,40,40,40,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,40,70,70,70,70,70,70,70,70,70,70,70
10,Pul Bangash,30,30,30,30,30,30,20,20,10,10,10,20,20,20,30,30,30,30,30,30,40,40,40,40,30,30,30,30,30,30,20,20,20,20,20,30,30,30,30,30,30,30,40,40,40,40,40,40,50,50,50,50,50,50,50,60,60,60,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,40,40,40,30,40,40,40,50,50,50,50,50,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,20,30,30,20,20,20,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,40,40,40,30,30,30,30,30,30,40,30,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,40,40,70,70,70,70,70,70,70,70,70,70,70
11,Pratap Nagar,40,30,30,30,30,30,30,20,10,10,10,10,20,20,20,30,30,30,30,30,30,40,40,40,40,30,30,30,30,30,30,20,20,20,30,30,30,30,30,30,30,40,40,40,40,40,40,40,50,50,50,50,50,50,60,60,60,60,50,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,50,50,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,30,30,20,20,30,30,20,20,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40,40,50,50,50,50,40,40,40,40,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,40,40,40,80,80,80,80,80,80,80,80,80,80,80
12,Shastri Nagar,40,40,40,30,30,30,30,20,20,20,10,10,10,20,20,20,30,30,30,30,30,40,40,30,30,30,30,30,30,30,30,30,20,30,30,30,30,30,30,30,40,40,40,40,40,40,40,50,50,50,50,50,50,60,60,60,60,60,50,50,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,50,50,50,50,40,40,40,40,40,40,30,30,30,30,30,30,30,30,20,20,10,20,30,20,30,30,30,30,30,40,30,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,40,40,40,50,50,50,50,50,50,40,40,40,40,30,30,30,20,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,30,30,30,40,40,40,40,80,80,80,80,80,80,80,80,80,80,80
13,Inder Lok,40,40,40,40,30,30,30,30,20,20,20,10,10,10,10,20,20,30,30,30,30,40,40,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,60,60,60,60,60,50,50,50,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,20,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,40,40,40,40,40,40,40,50,50,50,40,40,40,40,40,40,30,30,30,30,30,30,30,30,20,20,10,10,20,20,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,40,50,50,50,50,50,50,40,40,40,40,40,30,30,20,20,20,30,30,30,30,30,40,40,40,40,40,40,40,40,50,40,40,40,40,40,40,40,40,30,40,40,40,40,40,80,80,80,80,80,80,80,80,80,80,80
14,Kanhaiya Nagar,40,40,40,40,40,30,30,30,30,20,20,20,10,10,10,20,20,20,30,30,30,40,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,60,60,60,60,60,60,50,50,50,50,50,50,50,50,40,40,40,40,40,40,30,30,40,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,40,40,40,40,40,40,40,50,50,50,50,40,40,40,40,40,40,30,30,30,30,30,30,30,30,20,20,10,20,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,40,40,40,40,40,30,30,20,20,20,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,40,40,40,40,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,80,80,80,80
15,Keshav Puram,40,40,40,40,40,30,30,30,30,30,20,20,10,10,10,10,20,20,20,30,30,30,30,30,30,30,20,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,60,60,60,60,60,60,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,40,40,40,40,40,40,40,50,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,30,30,20,20,10,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,40,40,40,40,40,30,20,20,10,20,20,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,40,40,40,40,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,80,80,80,80
16,Netaji Subash Place,40,40,40,40,40,40,30,30,30,30,30,20,20,20,10,10,10,20,20,20,30,30,30,30,30,20,20,20,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,40,40,40,40,40,40,50,50,50,50,50,40,40,40,40,40,40,40,40,30,30,30,30,30,30,20,20,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,40,40,40,40,40,30,30,20,10,10,10,20,20,30,30,30,30,40,40,40,40,40,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,80,80,80,80
17,Kohat Enclave,40,40,40,40,40,40,40,30,30,30,30,30,20,20,20,10,10,10,10,20,20,30,30,30,30,30,20,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,40,50,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,30,30,30,30,30,30,20,30,30,30,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,40,40,40,40,40,30,20,20,10,20,20,30,30,30,30,40,40,40,40,40,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,50,50,80,80,80,80,80,80,80,80,80,80,80
18,Pitam Pura,40,40,40,40,40,40,40,30,30,30,30,30,30,20,20,20,10,10,10,20,20,40,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,40,50,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,40,40,40,40,40,30,30,20,20,20,30,30,30,30,30,40,40,40,40,50,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,50,50,80,80,80,80,80,80,80,80,80,80,80
